point cloud with 5689 points in dimension 4
distance matrix with 5689 points
value range: [0,2.82843]
 [0,0.0394681)
 [0,0.03947)
 [0,0.0394747)
 [0,0.0395058)
 [0,0.0395928)
 [0,0.0395963)
 [0,0.0396002)
 [0,0.0396291)
 [0,0.0396571)
 [0,0.039663)
 [0,0.0396991)
 [0,0.039718)
 [0,0.0397246)
 [0,0.0397835)
 [0,0.0398034)
 [0,0.0398412)
 [0,0.0398657)
 [0,0.039869)
 [0,0.0398747)
 [0,0.0398845)
 [0,0.0398884)
 [0,0.0399023)
 [0,0.0399047)
 [0,0.0399161)
 [0,0.0399302)
 [0,0.0399368)
 [0,0.0400355)
 [0,0.0400388)
 [0,0.0400883)
 [0,0.0400898)
 [0,0.0401239)
 [0,0.0401451)
 [0,0.0401772)
 [0,0.0401924)
 [0,0.0402137)
 [0,0.0402181)
 [0,0.0402188)
 [0,0.0402588)
 [0,0.0402692)
 [0,0.0402883)
 [0,0.0403028)
 [0,0.040321)
 [0,0.040322)
 [0,0.0403239)
 [0,0.0403517)
 [0,0.0403669)
 [0,0.0403883)
 [0,0.0404228)
 [0,0.0404299)
 [0,0.0404349)
 [0,0.0404518)
 [0,0.0404659)
 [0,0.0405008)
 [0,0.0405504)
 [0,0.0405572)
 [0,0.0405703)
 [0,0.0405822)
 [0,0.0405943)
 [0,0.0405978)
 [0,0.0406075)
 [0,0.0406091)
 [0,0.0406314)
 [0,0.0406416)
 [0,0.04068)
 [0,0.0407069)
 [0,0.0407348)
 [0,0.0407763)
 [0,0.0407951)
 [0,0.0408125)
 [0,0.0408843)
 [0,0.0408898)
 [0,0.0408953)
 [0,0.0409363)
 [0,0.0409618)
 [0,0.0409955)
 [0,0.0410063)
 [0,0.0410069)
 [0,0.0410238)
 [0,0.04103)
 [0,0.0410326)
 [0,0.0410465)
 [0,0.0410712)
 [0,0.0410844)
 [0,0.0411201)
 [0,0.0411367)
 [0,0.0411433)
 [0,0.0411545)
 [0,0.0411605)
 [0,0.041163)
 [0,0.0411972)
 [0,0.0412187)
 [0,0.0412732)
 [0,0.041276)
 [0,0.0412823)
 [0,0.04136)
 [0,0.0413937)
 [0,0.0413939)
 [0,0.0414009)
 [0,0.0414249)
 [0,0.0414293)
 [0,0.0414295)
 [0,0.0414373)
 [0,0.0414482)
 [0,0.0414632)
 [0,0.0414656)
 [0,0.041478)
 [0,0.0415163)
 [0,0.0415163)
 [0,0.0415443)
 [0,0.0415705)
 [0,0.041586)
 [0,0.0416148)
 [0,0.0416158)
 [0,0.0416279)
 [0,0.0416698)
 [0,0.0416878)
 [0,0.0416886)
 [0,0.0417024)
 [0,0.0417148)
 [0,0.0417833)
 [0,0.0418023)
 [0,0.0418095)
 [0,0.0418382)
 [0,0.041844)
 [0,0.0418782)
 [0,0.0418952)
 [0,0.0419588)
 [0,0.0419599)
 [0,0.0420568)
 [0,0.0420693)
 [0,0.0421008)
 [0,0.0421021)
 [0,0.0421396)
 [0,0.0421534)
 [0,0.0421542)
 [0,0.0421795)
 [0,0.0421991)
 [0,0.0422015)
 [0,0.0422036)
 [0,0.0422083)
 [0,0.0422201)
 [0,0.0422311)
 [0,0.0422317)
 [0,0.0422355)
 [0,0.0422415)
 [0,0.0422437)
 [0,0.0422653)
 [0,0.0422895)
 [0,0.0423076)
 [0,0.0423254)
 [0,0.0423358)
 [0,0.0423503)
 [0,0.0423867)
 [0,0.0424002)
 [0,0.0424496)
 [0,0.0424777)
 [0,0.0424814)
 [0,0.0424837)
 [0,0.042491)
 [0,0.0424938)
 [0,0.0425065)
 [0,0.0425245)
 [0,0.0425588)
 [0,0.0425692)
 [0,0.0425982)
 [0,0.0426059)
 [0,0.0426128)
 [0,0.0426132)
 [0,0.0426179)
 [0,0.0426457)
 [0,0.0426652)
 [0,0.0426788)
 [0,0.0427454)
 [0,0.042746)
 [0,0.0427489)
 [0,0.0428)
 [0,0.0428191)
 [0,0.0428326)
 [0,0.0428508)
 [0,0.0428808)
 [0,0.042894)
 [0,0.0428948)
 [0,0.0429166)
 [0,0.0429367)
 [0,0.0429523)
 [0,0.0429714)
 [0,0.042974)
 [0,0.0429748)
 [0,0.0429762)
 [0,0.043001)
 [0,0.0430024)
 [0,0.04302)
 [0,0.043021)
 [0,0.0430215)
 [0,0.0430241)
 [0,0.0430355)
 [0,0.0430606)
 [0,0.0430691)
 [0,0.043076)
 [0,0.0430833)
 [0,0.0430932)
 [0,0.0431197)
 [0,0.0431282)
 [0,0.043142)
 [0,0.043164)
 [0,0.043187)
 [0,0.0432122)
 [0,0.0432282)
 [0,0.0432542)
 [0,0.0432607)
 [0,0.0432782)
 [0,0.0433047)
 [0,0.0433367)
 [0,0.0433452)
 [0,0.043375)
 [0,0.043402)
 [0,0.0434404)
 [0,0.0434626)
 [0,0.0434834)
 [0,0.0435135)
 [0,0.043517)
 [0,0.0435252)
 [0,0.043531)
 [0,0.0435408)
 [0,0.0435459)
 [0,0.0435485)
 [0,0.0435764)
 [0,0.0436355)
 [0,0.0436919)
 [0,0.0436982)
 [0,0.0437432)
 [0,0.0437537)
 [0,0.0437627)
 [0,0.0438149)
 [0,0.0438229)
 [0,0.0438371)
 [0,0.0438607)
 [0,0.043863)
 [0,0.0438665)
 [0,0.0438968)
 [0,0.0439177)
 [0,0.0439178)
 [0,0.0439563)
 [0,0.0439712)
 [0,0.0439888)
 [0,0.0440329)
 [0,0.0440413)
 [0,0.0440479)
 [0,0.0440803)
 [0,0.0440976)
 [0,0.0441082)
 [0,0.0441217)
 [0,0.0441311)
 [0,0.0441414)
 [0,0.0441424)
 [0,0.0441589)
 [0,0.044179)
 [0,0.0442132)
 [0,0.044214)
 [0,0.0442357)
 [0,0.0442537)
 [0,0.0442631)
 [0,0.0442664)
 [0,0.0443225)
 [0,0.0443396)
 [0,0.0443655)
 [0,0.0444101)
 [0,0.0444147)
 [0,0.0444716)
 [0,0.0444937)
 [0,0.0445007)
 [0,0.0445048)
 [0,0.0445179)
 [0,0.0445217)
 [0,0.0445402)
 [0,0.0445585)
 [0,0.0445927)
 [0,0.0445934)
 [0,0.0446125)
 [0,0.0446163)
 [0,0.0446333)
 [0,0.0446364)
 [0,0.0446432)
 [0,0.0446844)
 [0,0.0447005)
 [0,0.0447058)
 [0,0.044716)
 [0,0.0447256)
 [0,0.0447347)
 [0,0.0447712)
 [0,0.0448136)
 [0,0.0449105)
 [0,0.0449317)
 [0,0.0449496)
 [0,0.0449624)
 [0,0.0449647)
 [0,0.0450144)
 [0,0.0450168)
 [0,0.0450419)
 [0,0.0450507)
 [0,0.0450573)
 [0,0.0450947)
 [0,0.0450988)
 [0,0.0451076)
 [0,0.0451137)
 [0,0.0451143)
 [0,0.0451256)
 [0,0.045128)
 [0,0.0451398)
 [0,0.0451515)
 [0,0.0451609)
 [0,0.0451897)
 [0,0.0451937)
 [0,0.0452093)
 [0,0.0452171)
 [0,0.045244)
 [0,0.0452529)
 [0,0.0452561)
 [0,0.0453556)
 [0,0.0453631)
 [0,0.0453644)
 [0,0.0453676)
 [0,0.0453738)
 [0,0.045382)
 [0,0.0453832)
 [0,0.0454033)
 [0,0.0454535)
 [0,0.0454675)
 [0,0.0454678)
 [0,0.0454683)
 [0,0.0454994)
 [0,0.0455054)
 [0,0.0455447)
 [0,0.0455481)
 [0,0.0455593)
 [0,0.04557)
 [0,0.0455714)
 [0,0.0456579)
 [0,0.045674)
 [0,0.0456768)
 [0,0.0456781)
 [0,0.0456813)
 [0,0.0457184)
 [0,0.0457294)
 [0,0.0457328)
 [0,0.0457813)
 [0,0.0458141)
 [0,0.0458141)
 [0,0.0458307)
 [0,0.0458521)
 [0,0.0458642)
 [0,0.0458659)
 [0,0.0458863)
 [0,0.0458865)
 [0,0.0458914)
 [0,0.0458991)
 [0,0.0458995)
 [0,0.0459449)
 [0,0.0459784)
 [0,0.0459825)
 [0,0.0460091)
 [0,0.046046)
 [0,0.0460686)
 [0,0.0460834)
 [0,0.0461252)
 [0,0.046147)
 [0,0.0461969)
 [0,0.0462348)
 [0,0.046238)
 [0,0.0462386)
 [0,0.0462425)
 [0,0.0462504)
 [0,0.0462791)
 [0,0.0462832)
 [0,0.0462935)
 [0,0.0463393)
 [0,0.0463655)
 [0,0.0464009)
 [0,0.0464077)
 [0,0.0464309)
 [0,0.0464481)
 [0,0.0464542)
 [0,0.0464605)
 [0,0.0464907)
 [0,0.0465214)
 [0,0.0465275)
 [0,0.0465686)
 [0,0.0466083)
 [0,0.0466861)
 [0,0.0467038)
 [0,0.0467072)
 [0,0.0467286)
 [0,0.0468412)
 [0,0.0468731)
 [0,0.0468798)
 [0,0.0468805)
 [0,0.0469111)
 [0,0.0469223)
 [0,0.046928)
 [0,0.0469513)
 [0,0.0469673)
 [0,0.046968)
 [0,0.0469915)
 [0,0.0470089)
 [0,0.0470275)
 [0,0.0470374)
 [0,0.0470423)
 [0,0.0470588)
 [0,0.0470597)
 [0,0.0470875)
 [0,0.0471833)
 [0,0.0472379)
 [0,0.047239)
 [0,0.04725)
 [0,0.0472509)
 [0,0.0472568)
 [0,0.0472801)
 [0,0.0472929)
 [0,0.0473046)
 [0,0.0473048)
 [0,0.0473084)
 [0,0.0473155)
 [0,0.0473207)
 [0,0.0473348)
 [0,0.0473505)
 [0,0.0473511)
 [0,0.0473954)
 [0,0.0474137)
 [0,0.0474573)
 [0,0.0474631)
 [0,0.0474724)
 [0,0.0474787)
 [0,0.0475247)
 [0,0.0475402)
 [0,0.0475452)
 [0,0.0475495)
 [0,0.0475539)
 [0,0.0476027)
 [0,0.0476331)
 [0,0.0476411)
 [0,0.0476455)
 [0,0.0476459)
 [0,0.0476553)
 [0,0.0476663)
 [0,0.0476749)
 [0,0.0476794)
 [0,0.047738)
 [0,0.047754)
 [0,0.0477695)
 [0,0.0477812)
 [0,0.0477815)
 [0,0.0477945)
 [0,0.0478369)
 [0,0.0478498)
 [0,0.0478554)
 [0,0.0478646)
 [0,0.0478908)
 [0,0.047892)
 [0,0.0479188)
 [0,0.0479327)
 [0,0.0479539)
 [0,0.0479965)
 [0,0.0479981)
 [0,0.0480365)
 [0,0.0480436)
 [0,0.0480702)
 [0,0.0480981)
 [0,0.0481099)
 [0,0.0481304)
 [0,0.0481774)
 [0,0.0482198)
 [0,0.0482285)
 [0,0.048234)
 [0,0.0482417)
 [0,0.0482769)
 [0,0.0482849)
 [0,0.0482877)
 [0,0.0483521)
 [0,0.0483537)
 [0,0.0484808)
 [0,0.0485166)
 [0,0.0485322)
 [0,0.048608)
 [0,0.0486179)
 [0,0.0486266)
 [0,0.0486352)
 [0,0.0486462)
 [0,0.048653)
 [0,0.048678)
 [0,0.048702)
 [0,0.0487109)
 [0,0.0487207)
 [0,0.0487319)
 [0,0.048739)
 [0,0.0487578)
 [0,0.0487819)
 [0,0.0488008)
 [0,0.0488038)
 [0,0.0488111)
 [0,0.0488225)
 [0,0.0488322)
 [0,0.0488422)
 [0,0.0488485)
 [0,0.048872)
 [0,0.048909)
 [0,0.0489137)
 [0,0.0489325)
 [0,0.0489635)
 [0,0.0489689)
 [0,0.0489757)
 [0,0.0489856)
 [0,0.0489883)
 [0,0.0489893)
 [0,0.0490135)
 [0,0.0490519)
 [0,0.0490557)
 [0,0.0490713)
 [0,0.0490768)
 [0,0.0490892)
 [0,0.0490972)
 [0,0.0491029)
 [0,0.0491071)
 [0,0.0491496)
 [0,0.0491528)
 [0,0.0491633)
 [0,0.0491647)
 [0,0.0491773)
 [0,0.0492008)
 [0,0.049258)
 [0,0.0493051)
 [0,0.04932)
 [0,0.0493338)
 [0,0.0493405)
 [0,0.0493441)
 [0,0.0493481)
 [0,0.0493727)
 [0,0.0493805)
 [0,0.0494074)
 [0,0.0494078)
 [0,0.0494523)
 [0,0.0494531)
 [0,0.0494731)
 [0,0.0494887)
 [0,0.0494888)
 [0,0.0495483)
 [0,0.0495651)
 [0,0.049566)
 [0,0.0495674)
 [0,0.049582)
 [0,0.0495991)
 [0,0.0496025)
 [0,0.0496144)
 [0,0.0496429)
 [0,0.049681)
 [0,0.0497083)
 [0,0.0497215)
 [0,0.0497215)
 [0,0.0497265)
 [0,0.0497373)
 [0,0.0497388)
 [0,0.0497533)
 [0,0.0497553)
 [0,0.0497603)
 [0,0.0497627)
 [0,0.0497727)
 [0,0.0497835)
 [0,0.049819)
 [0,0.0498226)
 [0,0.0498264)
 [0,0.0498268)
 [0,0.0498272)
 [0,0.049832)
 [0,0.0498416)
 [0,0.0498798)
 [0,0.0498861)
 [0,0.0498893)
 [0,0.0499032)
 [0,0.0499041)
 [0,0.0499148)
 [0,0.0499277)
 [0,0.0499321)
 [0,0.0499601)
 [0,0.0499768)
 [0,0.05)
 [0,0.0500007)
 [0,0.0500137)
 [0,0.0500229)
 [0,0.0500426)
 [0,0.0500439)
 [0,0.0500551)
 [0,0.0500572)
 [0,0.0500592)
 [0,0.0500651)
 [0,0.0500694)
 [0,0.0500773)
 [0,0.0500824)
 [0,0.0501123)
 [0,0.0501533)
 [0,0.0501539)
 [0,0.0501713)
 [0,0.0501732)
 [0,0.050183)
 [0,0.0501885)
 [0,0.0501919)
 [0,0.050196)
 [0,0.0502041)
 [0,0.0502053)
 [0,0.0502138)
 [0,0.0502198)
 [0,0.0502384)
 [0,0.0502969)
 [0,0.0503072)
 [0,0.0503099)
 [0,0.0503538)
 [0,0.05038)
 [0,0.0504617)
 [0,0.0505115)
 [0,0.0505683)
 [0,0.0505805)
 [0,0.0505857)
 [0,0.050621)
 [0,0.0506281)
 [0,0.05066)
 [0,0.0506896)
 [0,0.050698)
 [0,0.050715)
 [0,0.0507285)
 [0,0.0507287)
 [0,0.0507703)
 [0,0.0507734)
 [0,0.0507824)
 [0,0.0508307)
 [0,0.0508307)
 [0,0.0508549)
 [0,0.0508611)
 [0,0.0508617)
 [0,0.0508747)
 [0,0.0508759)
 [0,0.0509365)
 [0,0.0509574)
 [0,0.0509731)
 [0,0.0509833)
 [0,0.0509838)
 [0,0.0510588)
 [0,0.0510685)
 [0,0.0510773)
 [0,0.0510898)
 [0,0.0510988)
 [0,0.0511029)
 [0,0.0511225)
 [0,0.051151)
 [0,0.0511832)
 [0,0.0511859)
 [0,0.0512172)
 [0,0.0512203)
 [0,0.0512204)
 [0,0.051236)
 [0,0.0512388)
 [0,0.0512487)
 [0,0.051262)
 [0,0.0512649)
 [0,0.0512688)
 [0,0.0512822)
 [0,0.0512862)
 [0,0.0512939)
 [0,0.0513104)
 [0,0.0513129)
 [0,0.0513186)
 [0,0.0513501)
 [0,0.0513826)
 [0,0.0513887)
 [0,0.0514792)
 [0,0.0514848)
 [0,0.0514872)
 [0,0.0514872)
 [0,0.0514872)
 [0,0.0514872)
 [0,0.0514934)
 [0,0.0515126)
 [0,0.0515331)
 [0,0.0515409)
 [0,0.05157)
 [0,0.0515897)
 [0,0.0516145)
 [0,0.0516248)
 [0,0.051628)
 [0,0.0516341)
 [0,0.0516383)
 [0,0.0516525)
 [0,0.0516644)
 [0,0.0516657)
 [0,0.0516832)
 [0,0.0517264)
 [0,0.0517585)
 [0,0.0517794)
 [0,0.0517841)
 [0,0.0518051)
 [0,0.0518367)
 [0,0.0518602)
 [0,0.0518652)
 [0,0.0518902)
 [0,0.0518956)
 [0,0.0518989)
 [0,0.0518989)
 [0,0.0519343)
 [0,0.0519777)
 [0,0.051978)
 [0,0.0519835)
 [0,0.0519946)
 [0,0.0519972)
 [0,0.0519978)
 [0,0.051998)
 [0,0.0520179)
 [0,0.0520631)
 [0,0.0521218)
 [0,0.0521345)
 [0,0.0521647)
 [0,0.0521714)
 [0,0.052174)
 [0,0.0521769)
 [0,0.0521811)
 [0,0.0522204)
 [0,0.0522247)
 [0,0.0522358)
 [0,0.0522453)
 [0,0.0522531)
 [0,0.0522799)
 [0,0.0523008)
 [0,0.0523635)
 [0,0.0523834)
 [0,0.0523897)
 [0,0.0524087)
 [0,0.0524136)
 [0,0.052419)
 [0,0.0524191)
 [0,0.0524262)
 [0,0.0524386)
 [0,0.0524812)
 [0,0.0524843)
 [0,0.0525014)
 [0,0.0525041)
 [0,0.0525464)
 [0,0.0525464)
 [0,0.0525509)
 [0,0.0526242)
 [0,0.0526311)
 [0,0.0526317)
 [0,0.0526414)
 [0,0.0526823)
 [0,0.0526898)
 [0,0.0527005)
 [0,0.0527261)
 [0,0.0527463)
 [0,0.0527603)
 [0,0.0527606)
 [0,0.0527761)
 [0,0.0527792)
 [0,0.0528021)
 [0,0.0528059)
 [0,0.0528083)
 [0,0.0528171)
 [0,0.0528267)
 [0,0.0528368)
 [0,0.0528374)
 [0,0.0528573)
 [0,0.0528805)
 [0,0.0528816)
 [0,0.0529288)
 [0,0.0529793)
 [0,0.0529864)
 [0,0.0530044)
 [0,0.0530132)
 [0,0.053045)
 [0,0.0531046)
 [0,0.0531352)
 [0,0.0531384)
 [0,0.053162)
 [0,0.0531795)
 [0,0.0531996)
 [0,0.0532317)
 [0,0.0532568)
 [0,0.0532641)
 [0,0.0533054)
 [0,0.0533138)
 [0,0.0533216)
 [0,0.0533313)
 [0,0.053337)
 [0,0.0533404)
 [0,0.0533682)
 [0,0.0533745)
 [0,0.0533746)
 [0,0.0533804)
 [0,0.0533879)
 [0,0.0534248)
 [0,0.0534395)
 [0,0.0534781)
 [0,0.0534848)
 [0,0.053495)
 [0,0.0535121)
 [0,0.0535146)
 [0,0.0535582)
 [0,0.0535812)
 [0,0.053597)
 [0,0.0536028)
 [0,0.0536333)
 [0,0.0536621)
 [0,0.0536649)
 [0,0.0536725)
 [0,0.0536775)
 [0,0.0536943)
 [0,0.0537201)
 [0,0.0537448)
 [0,0.0537458)
 [0,0.0537529)
 [0,0.053758)
 [0,0.0537665)
 [0,0.0538019)
 [0,0.0538131)
 [0,0.053818)
 [0,0.0538224)
 [0,0.053848)
 [0,0.0538482)
 [0,0.0538526)
 [0,0.0538636)
 [0,0.0538743)
 [0,0.0538832)
 [0,0.0539)
 [0,0.0539113)
 [0,0.0539262)
 [0,0.0539303)
 [0,0.0539474)
 [0,0.0539843)
 [0,0.0539965)
 [0,0.0540017)
 [0,0.0540095)
 [0,0.0540113)
 [0,0.0540238)
 [0,0.0540423)
 [0,0.0540603)
 [0,0.0540868)
 [0,0.0541082)
 [0,0.0541346)
 [0,0.0541707)
 [0,0.0541805)
 [0,0.0542128)
 [0,0.0542467)
 [0,0.0542518)
 [0,0.0542618)
 [0,0.0542827)
 [0,0.0543299)
 [0,0.0543366)
 [0,0.0543506)
 [0,0.0544131)
 [0,0.0544389)
 [0,0.0544443)
 [0,0.0544763)
 [0,0.054478)
 [0,0.0544857)
 [0,0.0544876)
 [0,0.0544916)
 [0,0.0545387)
 [0,0.0545429)
 [0,0.0545568)
 [0,0.0545741)
 [0,0.0545935)
 [0,0.0545962)
 [0,0.0546021)
 [0,0.0546325)
 [0,0.0546425)
 [0,0.0546487)
 [0,0.0546969)
 [0,0.0547146)
 [0,0.0547296)
 [0,0.0547429)
 [0,0.0547499)
 [0,0.0547723)
 [0,0.0547733)
 [0,0.0548221)
 [0,0.0548339)
 [0,0.054861)
 [0,0.0548807)
 [0,0.0549381)
 [0,0.0549842)
 [0,0.0549916)
 [0,0.0549957)
 [0,0.0549979)
 [0,0.0550267)
 [0,0.055032)
 [0,0.0550336)
 [0,0.055061)
 [0,0.0550828)
 [0,0.0550994)
 [0,0.0551043)
 [0,0.0551544)
 [0,0.0551636)
 [0,0.0551728)
 [0,0.0551776)
 [0,0.0551842)
 [0,0.055193)
 [0,0.0552462)
 [0,0.0552818)
 [0,0.0553182)
 [0,0.0553393)
 [0,0.0553403)
 [0,0.055342)
 [0,0.0553481)
 [0,0.0553545)
 [0,0.0553585)
 [0,0.0553803)
 [0,0.0553805)
 [0,0.0553981)
 [0,0.0554079)
 [0,0.055412)
 [0,0.0554138)
 [0,0.0554155)
 [0,0.0554267)
 [0,0.0554662)
 [0,0.0554752)
 [0,0.0554847)
 [0,0.0555326)
 [0,0.0555336)
 [0,0.0555805)
 [0,0.0556059)
 [0,0.0556142)
 [0,0.0556196)
 [0,0.0556251)
 [0,0.055636)
 [0,0.0557099)
 [0,0.0557256)
 [0,0.0557292)
 [0,0.0557419)
 [0,0.0557426)
 [0,0.0557484)
 [0,0.0557741)
 [0,0.0558027)
 [0,0.0558064)
 [0,0.0558186)
 [0,0.0558284)
 [0,0.0558341)
 [0,0.055847)
 [0,0.055847)
 [0,0.0558688)
 [0,0.055885)
 [0,0.0559286)
 [0,0.0559358)
 [0,0.0559571)
 [0,0.0559595)
 [0,0.0559607)
 [0,0.0559633)
 [0,0.0559923)
 [0,0.0560016)
 [0,0.0560204)
 [0,0.056043)
 [0,0.0560495)
 [0,0.0560674)
 [0,0.0560948)
 [0,0.0561176)
 [0,0.0561243)
 [0,0.0561385)
 [0,0.0561437)
 [0,0.0561509)
 [0,0.0561597)
 [0,0.0561647)
 [0,0.056172)
 [0,0.0561843)
 [0,0.0561916)
 [0,0.0561952)
 [0,0.0562087)
 [0,0.0562582)
 [0,0.0562668)
 [0,0.05627)
 [0,0.0562795)
 [0,0.0563507)
 [0,0.0563952)
 [0,0.0564452)
 [0,0.0564456)
 [0,0.056447)
 [0,0.0564941)
 [0,0.0565363)
 [0,0.056537)
 [0,0.0565928)
 [0,0.056606)
 [0,0.0566136)
 [0,0.0566331)
 [0,0.0566476)
 [0,0.0566745)
 [0,0.0566853)
 [0,0.0567006)
 [0,0.0567395)
 [0,0.0567557)
 [0,0.0567577)
 [0,0.0567582)
 [0,0.0567932)
 [0,0.0568227)
 [0,0.0568275)
 [0,0.0568319)
 [0,0.0568458)
 [0,0.056852)
 [0,0.0568561)
 [0,0.0568999)
 [0,0.0569177)
 [0,0.0569656)
 [0,0.0569883)
 [0,0.0570215)
 [0,0.0570345)
 [0,0.0570414)
 [0,0.0570486)
 [0,0.0570506)
 [0,0.0570527)
 [0,0.0570547)
 [0,0.0570671)
 [0,0.0570755)
 [0,0.0570876)
 [0,0.057091)
 [0,0.0570943)
 [0,0.0571083)
 [0,0.0571087)
 [0,0.057148)
 [0,0.0571545)
 [0,0.0571547)
 [0,0.0571677)
 [0,0.0571773)
 [0,0.0571779)
 [0,0.0571857)
 [0,0.05719)
 [0,0.0571944)
 [0,0.0572145)
 [0,0.0572209)
 [0,0.057267)
 [0,0.0572873)
 [0,0.0573213)
 [0,0.0573351)
 [0,0.0574099)
 [0,0.0574405)
 [0,0.0574454)
 [0,0.0574574)
 [0,0.0574783)
 [0,0.0574996)
 [0,0.0575429)
 [0,0.0575583)
 [0,0.0575608)
 [0,0.0575782)
 [0,0.0575916)
 [0,0.0576108)
 [0,0.0576149)
 [0,0.0576442)
 [0,0.057674)
 [0,0.0576794)
 [0,0.0577487)
 [0,0.0577551)
 [0,0.0577604)
 [0,0.0577827)
 [0,0.0577988)
 [0,0.0578215)
 [0,0.0578239)
 [0,0.057843)
 [0,0.0578835)
 [0,0.0578901)
 [0,0.0579105)
 [0,0.0579337)
 [0,0.0579482)
 [0,0.0579572)
 [0,0.0579801)
 [0,0.0579954)
 [0,0.0580003)
 [0,0.0580019)
 [0,0.0580023)
 [0,0.0580512)
 [0,0.0580535)
 [0,0.0580656)
 [0,0.0580802)
 [0,0.0580995)
 [0,0.0581088)
 [0,0.0581098)
 [0,0.0581485)
 [0,0.0581605)
 [0,0.0582081)
 [0,0.0582481)
 [0,0.0582541)
 [0,0.0582657)
 [0,0.0582727)
 [0,0.0582848)
 [0,0.0583382)
 [0,0.0583477)
 [0,0.0583533)
 [0,0.0583576)
 [0,0.0583796)
 [0,0.058382)
 [0,0.0583823)
 [0,0.0583966)
 [0,0.058418)
 [0,0.0584354)
 [0,0.0584426)
 [0,0.0584444)
 [0,0.0584688)
 [0,0.0584773)
 [0,0.0585043)
 [0,0.0585129)
 [0,0.0585274)
 [0,0.0585321)
 [0,0.0585703)
 [0,0.0585788)
 [0,0.0585819)
 [0,0.058593)
 [0,0.0585988)
 [0,0.0586147)
 [0,0.0586224)
 [0,0.0586365)
 [0,0.058647)
 [0,0.0586483)
 [0,0.0586581)
 [0,0.0586853)
 [0,0.0586985)
 [0,0.0587168)
 [0,0.0587347)
 [0,0.0587468)
 [0,0.0587523)
 [0,0.0587548)
 [0,0.0587605)
 [0,0.05878)
 [0,0.0588406)
 [0,0.0588647)
 [0,0.0588694)
 [0,0.0589079)
 [0,0.0589279)
 [0,0.0589425)
 [0,0.0589548)
 [0,0.0589837)
 [0,0.0590001)
 [0,0.0590194)
 [0,0.0590261)
 [0,0.0590302)
 [0,0.0590315)
 [0,0.0590631)
 [0,0.059075)
 [0,0.0590792)
 [0,0.0590932)
 [0,0.0590946)
 [0,0.059105)
 [0,0.0591202)
 [0,0.0591501)
 [0,0.0591519)
 [0,0.0592123)
 [0,0.0592142)
 [0,0.0592292)
 [0,0.0592639)
 [0,0.0592711)
 [0,0.0593006)
 [0,0.0593027)
 [0,0.0593134)
 [0,0.0593281)
 [0,0.0593372)
 [0,0.0593519)
 [0,0.0593554)
 [0,0.0593696)
 [0,0.0593707)
 [0,0.0593782)
 [0,0.0594532)
 [0,0.0594589)
 [0,0.0594601)
 [0,0.0594811)
 [0,0.0594948)
 [0,0.0595726)
 [0,0.0595828)
 [0,0.0595919)
 [0,0.0596223)
 [0,0.059652)
 [0,0.059706)
 [0,0.0597067)
 [0,0.0597279)
 [0,0.0597342)
 [0,0.0597463)
 [0,0.0597536)
 [0,0.0597823)
 [0,0.0597823)
 [0,0.0597945)
 [0,0.0598165)
 [0,0.0598214)
 [0,0.0598231)
 [0,0.0598238)
 [0,0.05987)
 [0,0.0598811)
 [0,0.0598871)
 [0,0.0598995)
 [0,0.0599078)
 [0,0.0599103)
 [0,0.0599114)
 [0,0.0599123)
 [0,0.0599279)
 [0,0.0599337)
 [0,0.0599585)
 [0,0.0600091)
 [0,0.0600173)
 [0,0.0600193)
 [0,0.0600214)
 [0,0.0600238)
 [0,0.0600613)
 [0,0.060109)
 [0,0.0601144)
 [0,0.0601373)
 [0,0.060145)
 [0,0.0601452)
 [0,0.0601456)
 [0,0.0601475)
 [0,0.0601513)
 [0,0.0601598)
 [0,0.0601742)
 [0,0.0601804)
 [0,0.0601813)
 [0,0.0601858)
 [0,0.060188)
 [0,0.0602045)
 [0,0.0602118)
 [0,0.0602338)
 [0,0.0602752)
 [0,0.0602788)
 [0,0.0602793)
 [0,0.0602983)
 [0,0.0603207)
 [0,0.0603391)
 [0,0.0603916)
 [0,0.0604103)
 [0,0.0604329)
 [0,0.0604455)
 [0,0.0604642)
 [0,0.0604642)
 [0,0.0604775)
 [0,0.0604794)
 [0,0.0604865)
 [0,0.060523)
 [0,0.0605348)
 [0,0.0605458)
 [0,0.0605649)
 [0,0.0606033)
 [0,0.0606095)
 [0,0.0606195)
 [0,0.0606199)
 [0,0.0606482)
 [0,0.060649)
 [0,0.0606491)
 [0,0.0606796)
 [0,0.0606963)
 [0,0.0607023)
 [0,0.0607031)
 [0,0.0607087)
 [0,0.060709)
 [0,0.060715)
 [0,0.0607176)
 [0,0.0607273)
 [0,0.0607308)
 [0,0.0607348)
 [0,0.0607461)
 [0,0.0607811)
 [0,0.0608188)
 [0,0.0608207)
 [0,0.0608309)
 [0,0.0608509)
 [0,0.060885)
 [0,0.0608916)
 [0,0.0608985)
 [0,0.0609293)
 [0,0.0609437)
 [0,0.0609537)
 [0,0.0609742)
 [0,0.060989)
 [0,0.0609896)
 [0,0.0610011)
 [0,0.0610025)
 [0,0.0610329)
 [0,0.0610509)
 [0,0.0610671)
 [0,0.0610968)
 [0,0.0611)
 [0,0.0611024)
 [0,0.0611347)
 [0,0.0611383)
 [0,0.0611609)
 [0,0.061224)
 [0,0.0612631)
 [0,0.0612922)
 [0,0.0612945)
